Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
BoneCortical      ,   1.0000e+1,   2.0028e-2,   5.5153e+4,   6.5275e+2,   7.0607e+3,   1.1255e+3,
BoneCortical      ,   1.0012e+1,   2.0028e-2,   5.5095e+4,   6.5268e+2,   7.0566e+3,   1.1248e+3,
BoneCortical      ,   1.0023e+1,   2.0028e-2,   5.5038e+4,   6.5262e+2,   7.0525e+3,   1.1242e+3,
BoneCortical      ,   1.0035e+1,   2.0028e-2,   5.4980e+4,   6.5255e+2,   7.0485e+3,   1.1235e+3,
BoneCortical      ,   1.0046e+1,   2.0028e-2,   5.4922e+4,   6.5248e+2,   7.0444e+3,   1.1229e+3,
BoneCortical      ,   1.0058e+1,   2.0028e-2,   5.4865e+4,   6.5242e+2,   7.0403e+3,   1.1222e+3,
BoneCortical      ,   1.0069e+1,   2.0028e-2,   5.4807e+4,   6.5235e+2,   7.0363e+3,   1.1216e+3,
BoneCortical      ,   1.0081e+1,   2.0028e-2,   5.4750e+4,   6.5229e+2,   7.0322e+3,   1.1209e+3,
BoneCortical      ,   1.0093e+1,   2.0028e-2,   5.4692e+4,   6.5223e+2,   7.0282e+3,   1.1203e+3,
BoneCortical      ,   1.0104e+1,   2.0028e-2,   5.4634e+4,   6.5216e+2,   7.0241e+3,   1.1196e+3,
BoneCortical      ,   1.0116e+1,   2.0028e-2,   5.4577e+4,   6.5210e+2,   7.0201e+3,   1.1190e+3,
BoneCortical      ,   1.0127e+1,   2.0028e-2,   5.4519e+4,   6.5204e+2,   7.0160e+3,   1.1183e+3,
BoneCortical      ,   1.0139e+1,   2.0028e-2,   5.4462e+4,   6.5198e+2,   7.0120e+3,   1.1177e+3,
BoneCortical      ,   1.0151e+1,   2.0028e-2,   5.4404e+4,   6.5192e+2,   7.0079e+3,   1.1171e+3,
BoneCortical      ,   1.0162e+1,   2.0028e-2,   5.4346e+4,   6.5186e+2,   7.0039e+3,   1.1164e+3,
BoneCortical      ,   1.0174e+1,   2.0028e-2,   5.4289e+4,   6.5180e+2,   6.9999e+3,   1.1158e+3,
BoneCortical      ,   1.0186e+1,   2.0028e-2,   5.4231e+4,   6.5175e+2,   6.9958e+3,   1.1151e+3,
BoneCortical      ,   1.0198e+1,   2.0028e-2,   5.4174e+4,   6.5169e+2,   6.9918e+3,   1.1145e+3,
BoneCortical      ,   1.0209e+1,   2.0028e-2,   5.4116e+4,   6.5163e+2,   6.9878e+3,   1.1138e+3,
BoneCortical      ,   1.0221e+1,   2.0028e-2,   5.4058e+4,   6.5158e+2,   6.9837e+3,   1.1132e+3,
BoneCortical      ,   1.0233e+1,   2.0029e-2,   5.4001e+4,   6.5152e+2,   6.9797e+3,   1.1126e+3,
BoneCortical      ,   1.0245e+1,   2.0029e-2,   5.3943e+4,   6.5147e+2,   6.9757e+3,   1.1119e+3,
BoneCortical      ,   1.0257e+1,   2.0029e-2,   5.3886e+4,   6.5141e+2,   6.9717e+3,   1.1113e+3,
BoneCortical      ,   1.0268e+1,   2.0029e-2,   5.3828e+4,   6.5136e+2,   6.9677e+3,   1.1106e+3,
BoneCortical      ,   1.0280e+1,   2.0029e-2,   5.3771e+4,   6.5131e+2,   6.9636e+3,   1.1100e+3,
BoneCortical      ,   1.0292e+1,   2.0029e-2,   5.3713e+4,   6.5126e+2,   6.9596e+3,   1.1094e+3,
BoneCortical      ,   1.0304e+1,   2.0029e-2,   5.3655e+4,   6.5121e+2,   6.9556e+3,   1.1087e+3,
BoneCortical      ,   1.0316e+1,   2.0029e-2,   5.3598e+4,   6.5116e+2,   6.9516e+3,   1.1081e+3,
BoneCortical      ,   1.0328e+1,   2.0029e-2,   5.3540e+4,   6.5111e+2,   6.9476e+3,   1.1074e+3,
BoneCortical      ,   1.0340e+1,   2.0029e-2,   5.3483e+4,   6.5106e+2,   6.9436e+3,   1.1068e+3,
BoneCortical      ,   1.0351e+1,   2.0029e-2,   5.3425e+4,   6.5101e+2,   6.9396e+3,   1.1062e+3,
BoneCortical      ,   1.0363e+1,   2.0029e-2,   5.3368e+4,   6.5097e+2,   6.9356e+3,   1.1055e+3,
BoneCortical      ,   1.0375e+1,   2.0029e-2,   5.3310e+4,   6.5092e+2,   6.9316e+3,   1.1049e+3,
BoneCortical      ,   1.0387e+1,   2.0029e-2,   5.3253e+4,   6.5087e+2,   6.9276e+3,   1.1043e+3,
BoneCortical      ,   1.0399e+1,   2.0029e-2,   5.3195e+4,   6.5083e+2,   6.9236e+3,   1.1036e+3,
BoneCortical      ,   1.0411e+1,   2.0029e-2,   5.3138e+4,   6.5079e+2,   6.9196e+3,   1.1030e+3,
BoneCortical      ,   1.0423e+1,   2.0029e-2,   5.3080e+4,   6.5074e+2,   6.9156e+3,   1.1023e+3,
BoneCortical      ,   1.0435e+1,   2.0029e-2,   5.3023e+4,   6.5070e+2,   6.9116e+3,   1.1017e+3,
BoneCortical      ,   1.0447e+1,   2.0029e-2,   5.2965e+4,   6.5066e+2,   6.9077e+3,   1.1011e+3,
BoneCortical      ,   1.0459e+1,   2.0029e-2,   5.2908e+4,   6.5062e+2,   6.9037e+3,   1.1004e+3,
BoneCortical      ,   1.0471e+1,   2.0029e-2,   5.2850e+4,   6.5057e+2,   6.8997e+3,   1.0998e+3,
BoneCortical      ,   1.0483e+1,   2.0029e-2,   5.2793e+4,   6.5053e+2,   6.8957e+3,   1.0992e+3,
BoneCortical      ,   1.0495e+1,   2.0029e-2,   5.2735e+4,   6.5050e+2,   6.8917e+3,   1.0985e+3,
BoneCortical      ,   1.0508e+1,   2.0029e-2,   5.2678e+4,   6.5046e+2,   6.8878e+3,   1.0979e+3,
BoneCortical      ,   1.0520e+1,   2.0029e-2,   5.2620e+4,   6.5042e+2,   6.8838e+3,   1.0973e+3,
BoneCortical      ,   1.0532e+1,   2.0029e-2,   5.2563e+4,   6.5038e+2,   6.8798e+3,   1.0966e+3,
BoneCortical      ,   1.0544e+1,   2.0029e-2,   5.2505e+4,   6.5035e+2,   6.8759e+3,   1.0960e+3,
BoneCortical      ,   1.0556e+1,   2.0029e-2,   5.2448e+4,   6.5031e+2,   6.8719e+3,   1.0954e+3,
BoneCortical      ,   1.0568e+1,   2.0029e-2,   5.2390e+4,   6.5027e+2,   6.8680e+3,   1.0948e+3,
BoneCortical      ,   1.0580e+1,   2.0029e-2,   5.2333e+4,   6.5024e+2,   6.8640e+3,   1.0941e+3,
BoneCortical      ,   1.0593e+1,   2.0029e-2,   5.2276e+4,   6.5021e+2,   6.8600e+3,   1.0935e+3,
BoneCortical      ,   1.0605e+1,   2.0030e-2,   5.2218e+4,   6.5017e+2,   6.8561e+3,   1.0929e+3,
BoneCortical      ,   1.0617e+1,   2.0030e-2,   5.2161e+4,   6.5014e+2,   6.8521e+3,   1.0922e+3,
BoneCortical      ,   1.0629e+1,   2.0030e-2,   5.2103e+4,   6.5011e+2,   6.8482e+3,   1.0916e+3,
BoneCortical      ,   1.0641e+1,   2.0030e-2,   5.2046e+4,   6.5008e+2,   6.8442e+3,   1.0910e+3,
BoneCortical      ,   1.0654e+1,   2.0030e-2,   5.1989e+4,   6.5005e+2,   6.8403e+3,   1.0903e+3,
BoneCortical      ,   1.0666e+1,   2.0030e-2,   5.1931e+4,   6.5002e+2,   6.8364e+3,   1.0897e+3,
BoneCortical      ,   1.0678e+1,   2.0030e-2,   5.1874e+4,   6.4999e+2,   6.8324e+3,   1.0891e+3,
BoneCortical      ,   1.0691e+1,   2.0030e-2,   5.1817e+4,   6.4996e+2,   6.8285e+3,   1.0885e+3,
BoneCortical      ,   1.0703e+1,   2.0030e-2,   5.1759e+4,   6.4993e+2,   6.8245e+3,   1.0878e+3,
BoneCortical      ,   1.0715e+1,   2.0030e-2,   5.1702e+4,   6.4991e+2,   6.8206e+3,   1.0872e+3,
BoneCortical      ,   1.0728e+1,   2.0030e-2,   5.1645e+4,   6.4988e+2,   6.8167e+3,   1.0866e+3,
BoneCortical      ,   1.0740e+1,   2.0030e-2,   5.1587e+4,   6.4986e+2,   6.8127e+3,   1.0860e+3,
BoneCortical      ,   1.0752e+1,   2.0030e-2,   5.1530e+4,   6.4983e+2,   6.8088e+3,   1.0853e+3,
BoneCortical      ,   1.0765e+1,   2.0030e-2,   5.1473e+4,   6.4981e+2,   6.8049e+3,   1.0847e+3,
BoneCortical      ,   1.0777e+1,   2.0030e-2,   5.1415e+4,   6.4978e+2,   6.8010e+3,   1.0841e+3,
BoneCortical      ,   1.0789e+1,   2.0030e-2,   5.1358e+4,   6.4976e+2,   6.7971e+3,   1.0835e+3,
BoneCortical      ,   1.0802e+1,   2.0030e-2,   5.1301e+4,   6.4974e+2,   6.7931e+3,   1.0828e+3,
BoneCortical      ,   1.0814e+1,   2.0030e-2,   5.1243e+4,   6.4972e+2,   6.7892e+3,   1.0822e+3,
BoneCortical      ,   1.0827e+1,   2.0030e-2,   5.1186e+4,   6.4970e+2,   6.7853e+3,   1.0816e+3,
BoneCortical      ,   1.0839e+1,   2.0030e-2,   5.1129e+4,   6.4968e+2,   6.7814e+3,   1.0810e+3,
BoneCortical      ,   1.0852e+1,   2.0030e-2,   5.1072e+4,   6.4966e+2,   6.7775e+3,   1.0803e+3,
BoneCortical      ,   1.0864e+1,   2.0030e-2,   5.1015e+4,   6.4964e+2,   6.7736e+3,   1.0797e+3,
BoneCortical      ,   1.0877e+1,   2.0030e-2,   5.0957e+4,   6.4962e+2,   6.7697e+3,   1.0791e+3,
BoneCortical      ,   1.0889e+1,   2.0030e-2,   5.0900e+4,   6.4960e+2,   6.7658e+3,   1.0785e+3,
BoneCortical      ,   1.0902e+1,   2.0030e-2,   5.0843e+4,   6.4959e+2,   6.7619e+3,   1.0778e+3,
BoneCortical      ,   1.0914e+1,   2.0030e-2,   5.0786e+4,   6.4957e+2,   6.7580e+3,   1.0772e+3,
BoneCortical      ,   1.0927e+1,   2.0030e-2,   5.0729e+4,   6.4956e+2,   6.7541e+3,   1.0766e+3,
BoneCortical      ,   1.0940e+1,   2.0030e-2,   5.0671e+4,   6.4954e+2,   6.7502e+3,   1.0760e+3,
BoneCortical      ,   1.0952e+1,   2.0030e-2,   5.0614e+4,   6.4953e+2,   6.7463e+3,   1.0754e+3,
BoneCortical      ,   1.0965e+1,   2.0030e-2,   5.0557e+4,   6.4951e+2,   6.7424e+3,   1.0747e+3,
BoneCortical      ,   1.0977e+1,   2.0030e-2,   5.0500e+4,   6.4950e+2,   6.7385e+3,   1.0741e+3,
BoneCortical      ,   1.0990e+1,   2.0031e-2,   5.0443e+4,   6.4949e+2,   6.7347e+3,   1.0735e+3,
BoneCortical      ,   1.1003e+1,   2.0031e-2,   5.0386e+4,   6.4948e+2,   6.7308e+3,   1.0729e+3,
BoneCortical      ,   1.1015e+1,   2.0031e-2,   5.0329e+4,   6.4947e+2,   6.7269e+3,   1.0723e+3,
BoneCortical      ,   1.1028e+1,   2.0031e-2,   5.0272e+4,   6.4946e+2,   6.7230e+3,   1.0716e+3,
BoneCortical      ,   1.1041e+1,   2.0031e-2,   5.0215e+4,   6.4945e+2,   6.7191e+3,   1.0710e+3,
