Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
BrainGreyMatter   ,   1.0000e+1,   2.7512e-2,   4.0699e+7,   1.2151e+0,   4.1425e+3,   1.3964e+3,
BrainGreyMatter   ,   1.0012e+1,   2.7528e-2,   4.0690e+7,   1.2147e+0,   4.1385e+3,   1.3954e+3,
BrainGreyMatter   ,   1.0023e+1,   2.7543e-2,   4.0681e+7,   1.2143e+0,   4.1345e+3,   1.3944e+3,
BrainGreyMatter   ,   1.0035e+1,   2.7559e-2,   4.0671e+7,   1.2138e+0,   4.1305e+3,   1.3933e+3,
BrainGreyMatter   ,   1.0046e+1,   2.7575e-2,   4.0662e+7,   1.2134e+0,   4.1264e+3,   1.3923e+3,
BrainGreyMatter   ,   1.0058e+1,   2.7590e-2,   4.0652e+7,   1.2130e+0,   4.1224e+3,   1.3912e+3,
BrainGreyMatter   ,   1.0069e+1,   2.7606e-2,   4.0643e+7,   1.2125e+0,   4.1184e+3,   1.3902e+3,
BrainGreyMatter   ,   1.0081e+1,   2.7622e-2,   4.0634e+7,   1.2121e+0,   4.1144e+3,   1.3892e+3,
BrainGreyMatter   ,   1.0093e+1,   2.7638e-2,   4.0624e+7,   1.2117e+0,   4.1104e+3,   1.3881e+3,
BrainGreyMatter   ,   1.0104e+1,   2.7653e-2,   4.0615e+7,   1.2113e+0,   4.1064e+3,   1.3871e+3,
BrainGreyMatter   ,   1.0116e+1,   2.7669e-2,   4.0605e+7,   1.2109e+0,   4.1025e+3,   1.3860e+3,
BrainGreyMatter   ,   1.0127e+1,   2.7685e-2,   4.0596e+7,   1.2105e+0,   4.0985e+3,   1.3850e+3,
BrainGreyMatter   ,   1.0139e+1,   2.7701e-2,   4.0586e+7,   1.2100e+0,   4.0945e+3,   1.3839e+3,
BrainGreyMatter   ,   1.0151e+1,   2.7717e-2,   4.0577e+7,   1.2096e+0,   4.0905e+3,   1.3829e+3,
BrainGreyMatter   ,   1.0162e+1,   2.7733e-2,   4.0567e+7,   1.2092e+0,   4.0865e+3,   1.3818e+3,
BrainGreyMatter   ,   1.0174e+1,   2.7749e-2,   4.0557e+7,   1.2088e+0,   4.0826e+3,   1.3808e+3,
BrainGreyMatter   ,   1.0186e+1,   2.7765e-2,   4.0548e+7,   1.2084e+0,   4.0786e+3,   1.3798e+3,
BrainGreyMatter   ,   1.0198e+1,   2.7781e-2,   4.0538e+7,   1.2080e+0,   4.0746e+3,   1.3787e+3,
BrainGreyMatter   ,   1.0209e+1,   2.7797e-2,   4.0529e+7,   1.2076e+0,   4.0707e+3,   1.3777e+3,
BrainGreyMatter   ,   1.0221e+1,   2.7813e-2,   4.0519e+7,   1.2072e+0,   4.0667e+3,   1.3766e+3,
