Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
BrainWhiteMatter  ,   1.0000e+1,   2.7656e-2,   2.7627e+7,   1.7994e+0,   4.6122e+3,   1.2477e+3,
BrainWhiteMatter  ,   1.0012e+1,   2.7669e-2,   2.7615e+7,   1.7990e+0,   4.6082e+3,   1.2468e+3,
BrainWhiteMatter  ,   1.0023e+1,   2.7683e-2,   2.7602e+7,   1.7987e+0,   4.6041e+3,   1.2458e+3,
BrainWhiteMatter  ,   1.0035e+1,   2.7697e-2,   2.7589e+7,   1.7984e+0,   4.6001e+3,   1.2448e+3,
BrainWhiteMatter  ,   1.0046e+1,   2.7711e-2,   2.7576e+7,   1.7980e+0,   4.5961e+3,   1.2439e+3,
BrainWhiteMatter  ,   1.0058e+1,   2.7725e-2,   2.7564e+7,   1.7977e+0,   4.5921e+3,   1.2429e+3,
BrainWhiteMatter  ,   1.0069e+1,   2.7739e-2,   2.7551e+7,   1.7973e+0,   4.5881e+3,   1.2419e+3,
BrainWhiteMatter  ,   1.0081e+1,   2.7753e-2,   2.7538e+7,   1.7970e+0,   4.5841e+3,   1.2409e+3,
BrainWhiteMatter  ,   1.0093e+1,   2.7767e-2,   2.7525e+7,   1.7967e+0,   4.5801e+3,   1.2400e+3,
BrainWhiteMatter  ,   1.0104e+1,   2.7781e-2,   2.7512e+7,   1.7964e+0,   4.5761e+3,   1.2390e+3,
BrainWhiteMatter  ,   1.0116e+1,   2.7794e-2,   2.7500e+7,   1.7960e+0,   4.5722e+3,   1.2380e+3,
BrainWhiteMatter  ,   1.0127e+1,   2.7808e-2,   2.7487e+7,   1.7957e+0,   4.5682e+3,   1.2371e+3,
BrainWhiteMatter  ,   1.0139e+1,   2.7822e-2,   2.7474e+7,   1.7954e+0,   4.5642e+3,   1.2361e+3,
BrainWhiteMatter  ,   1.0151e+1,   2.7836e-2,   2.7461e+7,   1.7951e+0,   4.5602e+3,   1.2351e+3,
BrainWhiteMatter  ,   1.0162e+1,   2.7851e-2,   2.7448e+7,   1.7948e+0,   4.5563e+3,   1.2342e+3,
BrainWhiteMatter  ,   1.0174e+1,   2.7865e-2,   2.7435e+7,   1.7944e+0,   4.5523e+3,   1.2332e+3,
BrainWhiteMatter  ,   1.0186e+1,   2.7879e-2,   2.7422e+7,   1.7941e+0,   4.5483e+3,   1.2322e+3,
BrainWhiteMatter  ,   1.0198e+1,   2.7893e-2,   2.7409e+7,   1.7938e+0,   4.5444e+3,   1.2312e+3,
BrainWhiteMatter  ,   1.0209e+1,   2.7907e-2,   2.7396e+7,   1.7935e+0,   4.5404e+3,   1.2303e+3,
BrainWhiteMatter  ,   1.0221e+1,   2.7921e-2,   2.7383e+7,   1.7932e+0,   4.5365e+3,   1.2293e+3,
BrainWhiteMatter  ,   1.0233e+1,   2.7935e-2,   2.7370e+7,   1.7929e+0,   4.5325e+3,   1.2283e+3,
BrainWhiteMatter  ,   1.0245e+1,   2.7949e-2,   2.7357e+7,   1.7926e+0,   4.5286e+3,   1.2274e+3,
BrainWhiteMatter  ,   1.0257e+1,   2.7964e-2,   2.7344e+7,   1.7923e+0,   4.5246e+3,   1.2264e+3,
BrainWhiteMatter  ,   1.0268e+1,   2.7978e-2,   2.7331e+7,   1.7920e+0,   4.5207e+3,   1.2254e+3,
BrainWhiteMatter  ,   1.0280e+1,   2.7992e-2,   2.7318e+7,   1.7917e+0,   4.5168e+3,   1.2245e+3,
BrainWhiteMatter  ,   1.0292e+1,   2.8006e-2,   2.7305e+7,   1.7914e+0,   4.5128e+3,   1.2235e+3,
BrainWhiteMatter  ,   1.0304e+1,   2.8021e-2,   2.7292e+7,   1.7911e+0,   4.5089e+3,   1.2225e+3,
BrainWhiteMatter  ,   1.0316e+1,   2.8035e-2,   2.7279e+7,   1.7908e+0,   4.5050e+3,   1.2216e+3,
BrainWhiteMatter  ,   1.0328e+1,   2.8049e-2,   2.7265e+7,   1.7906e+0,   4.5011e+3,   1.2206e+3,
BrainWhiteMatter  ,   1.0340e+1,   2.8063e-2,   2.7252e+7,   1.7903e+0,   4.4972e+3,   1.2196e+3,
BrainWhiteMatter  ,   1.0351e+1,   2.8078e-2,   2.7239e+7,   1.7900e+0,   4.4933e+3,   1.2187e+3,
BrainWhiteMatter  ,   1.0363e+1,   2.8092e-2,   2.7226e+7,   1.7897e+0,   4.4894e+3,   1.2177e+3,
BrainWhiteMatter  ,   1.0375e+1,   2.8107e-2,   2.7213e+7,   1.7894e+0,   4.4855e+3,   1.2167e+3,
BrainWhiteMatter  ,   1.0387e+1,   2.8121e-2,   2.7199e+7,   1.7892e+0,   4.4816e+3,   1.2158e+3,
BrainWhiteMatter  ,   1.0399e+1,   2.8135e-2,   2.7186e+7,   1.7889e+0,   4.4777e+3,   1.2148e+3,
BrainWhiteMatter  ,   1.0411e+1,   2.8150e-2,   2.7173e+7,   1.7886e+0,   4.4738e+3,   1.2138e+3,
BrainWhiteMatter  ,   1.0423e+1,   2.8164e-2,   2.7160e+7,   1.7884e+0,   4.4699e+3,   1.2129e+3,
BrainWhiteMatter  ,   1.0435e+1,   2.8179e-2,   2.7146e+7,   1.7881e+0,   4.4660e+3,   1.2119e+3,
BrainWhiteMatter  ,   1.0447e+1,   2.8193e-2,   2.7133e+7,   1.7878e+0,   4.4621e+3,   1.2109e+3,
BrainWhiteMatter  ,   1.0459e+1,   2.8208e-2,   2.7120e+7,   1.7876e+0,   4.4583e+3,   1.2100e+3,
BrainWhiteMatter  ,   1.0471e+1,   2.8222e-2,   2.7106e+7,   1.7873e+0,   4.4544e+3,   1.2090e+3,
BrainWhiteMatter  ,   1.0483e+1,   2.8237e-2,   2.7093e+7,   1.7870e+0,   4.4505e+3,   1.2080e+3,
BrainWhiteMatter  ,   1.0495e+1,   2.8251e-2,   2.7080e+7,   1.7868e+0,   4.4467e+3,   1.2071e+3,
