Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
EyeSclera         ,   1.0000e+1,   5.0139e-1,   2.6033e+6,   3.4620e+2,   1.4102e+3,   2.2509e+2,
EyeSclera         ,   1.0012e+1,   5.0139e-1,   2.6004e+6,   3.4619e+2,   1.4094e+3,   2.2496e+2,
EyeSclera         ,   1.0023e+1,   5.0140e-1,   2.5975e+6,   3.4618e+2,   1.4086e+3,   2.2483e+2,
EyeSclera         ,   1.0035e+1,   5.0140e-1,   2.5947e+6,   3.4616e+2,   1.4078e+3,   2.2470e+2,
EyeSclera         ,   1.0046e+1,   5.0140e-1,   2.5918e+6,   3.4615e+2,   1.4069e+3,   2.2457e+2,
EyeSclera         ,   1.0058e+1,   5.0140e-1,   2.5889e+6,   3.4614e+2,   1.4061e+3,   2.2444e+2,
EyeSclera         ,   1.0069e+1,   5.0140e-1,   2.5860e+6,   3.4612e+2,   1.4053e+3,   2.2431e+2,
EyeSclera         ,   1.0081e+1,   5.0140e-1,   2.5832e+6,   3.4611e+2,   1.4045e+3,   2.2418e+2,
EyeSclera         ,   1.0093e+1,   5.0140e-1,   2.5803e+6,   3.4610e+2,   1.4037e+3,   2.2405e+2,
EyeSclera         ,   1.0104e+1,   5.0141e-1,   2.5774e+6,   3.4609e+2,   1.4029e+3,   2.2392e+2,
EyeSclera         ,   1.0116e+1,   5.0141e-1,   2.5745e+6,   3.4608e+2,   1.4021e+3,   2.2379e+2,
EyeSclera         ,   1.0127e+1,   5.0141e-1,   2.5716e+6,   3.4607e+2,   1.4013e+3,   2.2366e+2,
EyeSclera         ,   1.0139e+1,   5.0141e-1,   2.5688e+6,   3.4606e+2,   1.4005e+3,   2.2354e+2,
EyeSclera         ,   1.0151e+1,   5.0141e-1,   2.5659e+6,   3.4605e+2,   1.3997e+3,   2.2341e+2,
EyeSclera         ,   1.0162e+1,   5.0141e-1,   2.5630e+6,   3.4604e+2,   1.3988e+3,   2.2328e+2,
EyeSclera         ,   1.0174e+1,   5.0142e-1,   2.5601e+6,   3.4603e+2,   1.3980e+3,   2.2315e+2,
EyeSclera         ,   1.0186e+1,   5.0142e-1,   2.5572e+6,   3.4603e+2,   1.3972e+3,   2.2302e+2,
EyeSclera         ,   1.0198e+1,   5.0142e-1,   2.5544e+6,   3.4602e+2,   1.3964e+3,   2.2289e+2,
EyeSclera         ,   1.0209e+1,   5.0142e-1,   2.5515e+6,   3.4601e+2,   1.3956e+3,   2.2276e+2,
EyeSclera         ,   1.0221e+1,   5.0142e-1,   2.5486e+6,   3.4600e+2,   1.3948e+3,   2.2263e+2,
EyeSclera         ,   1.0233e+1,   5.0142e-1,   2.5457e+6,   3.4600e+2,   1.3940e+3,   2.2251e+2,
EyeSclera         ,   1.0245e+1,   5.0143e-1,   2.5429e+6,   3.4599e+2,   1.3932e+3,   2.2238e+2,
EyeSclera         ,   1.0257e+1,   5.0143e-1,   2.5400e+6,   3.4599e+2,   1.3924e+3,   2.2225e+2,
EyeSclera         ,   1.0268e+1,   5.0143e-1,   2.5371e+6,   3.4598e+2,   1.3916e+3,   2.2212e+2,
EyeSclera         ,   1.0280e+1,   5.0143e-1,   2.5342e+6,   3.4598e+2,   1.3908e+3,   2.2199e+2,
EyeSclera         ,   1.0292e+1,   5.0143e-1,   2.5313e+6,   3.4597e+2,   1.3900e+3,   2.2186e+2,
EyeSclera         ,   1.0304e+1,   5.0143e-1,   2.5285e+6,   3.4597e+2,   1.3892e+3,   2.2174e+2,
EyeSclera         ,   1.0316e+1,   5.0144e-1,   2.5256e+6,   3.4596e+2,   1.3884e+3,   2.2161e+2,
EyeSclera         ,   1.0328e+1,   5.0144e-1,   2.5227e+6,   3.4596e+2,   1.3876e+3,   2.2148e+2,
