Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
GallBladder       ,   1.0000e+1,   9.0000e-1,   6.0909e+3,   2.6561e+5,   1.0541e+3,   1.6776e+2,
GallBladder       ,   1.0012e+1,   9.0000e-1,   6.0851e+3,   2.6556e+5,   1.0535e+3,   1.6767e+2,
GallBladder       ,   1.0023e+1,   9.0000e-1,   6.0794e+3,   2.6550e+5,   1.0529e+3,   1.6757e+2,
GallBladder       ,   1.0035e+1,   9.0000e-1,   6.0736e+3,   2.6545e+5,   1.0523e+3,   1.6747e+2,
GallBladder       ,   1.0046e+1,   9.0000e-1,   6.0678e+3,   2.6539e+5,   1.0517e+3,   1.6738e+2,
GallBladder       ,   1.0058e+1,   9.0000e-1,   6.0621e+3,   2.6534e+5,   1.0510e+3,   1.6728e+2,
GallBladder       ,   1.0069e+1,   9.0000e-1,   6.0563e+3,   2.6529e+5,   1.0504e+3,   1.6718e+2,
GallBladder       ,   1.0081e+1,   9.0000e-1,   6.0505e+3,   2.6523e+5,   1.0498e+3,   1.6709e+2,
GallBladder       ,   1.0093e+1,   9.0000e-1,   6.0448e+3,   2.6518e+5,   1.0492e+3,   1.6699e+2,
GallBladder       ,   1.0104e+1,   9.0000e-1,   6.0390e+3,   2.6513e+5,   1.0486e+3,   1.6690e+2,
GallBladder       ,   1.0116e+1,   9.0000e-1,   6.0333e+3,   2.6508e+5,   1.0480e+3,   1.6680e+2,
GallBladder       ,   1.0127e+1,   9.0000e-1,   6.0275e+3,   2.6503e+5,   1.0474e+3,   1.6670e+2,
GallBladder       ,   1.0139e+1,   9.0000e-1,   6.0217e+3,   2.6497e+5,   1.0468e+3,   1.6661e+2,
GallBladder       ,   1.0151e+1,   9.0000e-1,   6.0160e+3,   2.6492e+5,   1.0462e+3,   1.6651e+2,
GallBladder       ,   1.0162e+1,   9.0000e-1,   6.0102e+3,   2.6487e+5,   1.0456e+3,   1.6642e+2,
GallBladder       ,   1.0174e+1,   9.0000e-1,   6.0044e+3,   2.6482e+5,   1.0450e+3,   1.6632e+2,
GallBladder       ,   1.0186e+1,   9.0000e-1,   5.9987e+3,   2.6477e+5,   1.0444e+3,   1.6622e+2,
GallBladder       ,   1.0198e+1,   9.0000e-1,   5.9929e+3,   2.6472e+5,   1.0438e+3,   1.6613e+2,
GallBladder       ,   1.0209e+1,   9.0000e-1,   5.9871e+3,   2.6467e+5,   1.0432e+3,   1.6603e+2,
GallBladder       ,   1.0221e+1,   9.0000e-1,   5.9814e+3,   2.6462e+5,   1.0426e+3,   1.6594e+2,
GallBladder       ,   1.0233e+1,   9.0000e-1,   5.9756e+3,   2.6457e+5,   1.0420e+3,   1.6584e+2,
GallBladder       ,   1.0245e+1,   9.0000e-1,   5.9699e+3,   2.6452e+5,   1.0414e+3,   1.6575e+2,
GallBladder       ,   1.0257e+1,   9.0000e-1,   5.9641e+3,   2.6447e+5,   1.0408e+3,   1.6565e+2,
GallBladder       ,   1.0268e+1,   9.0000e-1,   5.9583e+3,   2.6442e+5,   1.0402e+3,   1.6556e+2,
GallBladder       ,   1.0280e+1,   9.0000e-1,   5.9526e+3,   2.6437e+5,   1.0396e+3,   1.6546e+2,
GallBladder       ,   1.0292e+1,   9.0000e-1,   5.9468e+3,   2.6433e+5,   1.0390e+3,   1.6537e+2,
GallBladder       ,   1.0304e+1,   9.0000e-1,   5.9411e+3,   2.6428e+5,   1.0384e+3,   1.6527e+2,
GallBladder       ,   1.0316e+1,   9.0000e-1,   5.9353e+3,   2.6423e+5,   1.0378e+3,   1.6518e+2,
GallBladder       ,   1.0328e+1,   9.0000e-1,   5.9295e+3,   2.6418e+5,   1.0372e+3,   1.6508e+2,
GallBladder       ,   1.0340e+1,   9.0000e-1,   5.9238e+3,   2.6413e+5,   1.0366e+3,   1.6498e+2,
GallBladder       ,   1.0351e+1,   9.0000e-1,   5.9180e+3,   2.6409e+5,   1.0360e+3,   1.6489e+2,
GallBladder       ,   1.0363e+1,   9.0000e-1,   5.9123e+3,   2.6404e+5,   1.0354e+3,   1.6480e+2,
GallBladder       ,   1.0375e+1,   9.0000e-1,   5.9065e+3,   2.6399e+5,   1.0348e+3,   1.6470e+2,
GallBladder       ,   1.0387e+1,   9.0000e-1,   5.9008e+3,   2.6395e+5,   1.0342e+3,   1.6461e+2,
GallBladder       ,   1.0399e+1,   9.0000e-1,   5.8950e+3,   2.6390e+5,   1.0336e+3,   1.6451e+2,
GallBladder       ,   1.0411e+1,   9.0000e-1,   5.8892e+3,   2.6385e+5,   1.0331e+3,   1.6442e+2,
GallBladder       ,   1.0423e+1,   9.0000e-1,   5.8835e+3,   2.6381e+5,   1.0325e+3,   1.6432e+2,
GallBladder       ,   1.0435e+1,   9.0000e-1,   5.8777e+3,   2.6376e+5,   1.0319e+3,   1.6423e+2,
GallBladder       ,   1.0447e+1,   9.0000e-1,   5.8720e+3,   2.6372e+5,   1.0313e+3,   1.6413e+2,
GallBladder       ,   1.0459e+1,   9.0000e-1,   5.8662e+3,   2.6367e+5,   1.0307e+3,   1.6404e+2,
GallBladder       ,   1.0471e+1,   9.0000e-1,   5.8605e+3,   2.6363e+5,   1.0301e+3,   1.6394e+2,
GallBladder       ,   1.0483e+1,   9.0000e-1,   5.8547e+3,   2.6358e+5,   1.0295e+3,   1.6385e+2,
GallBladder       ,   1.0495e+1,   9.0000e-1,   5.8490e+3,   2.6354e+5,   1.0289e+3,   1.6375e+2,
GallBladder       ,   1.0508e+1,   9.0000e-1,   5.8432e+3,   2.6350e+5,   1.0283e+3,   1.6366e+2,
GallBladder       ,   1.0520e+1,   9.0000e-1,   5.8375e+3,   2.6345e+5,   1.0277e+3,   1.6357e+2,
GallBladder       ,   1.0532e+1,   9.0000e-1,   5.8317e+3,   2.6341e+5,   1.0271e+3,   1.6347e+2,
GallBladder       ,   1.0544e+1,   9.0000e-1,   5.8260e+3,   2.6336e+5,   1.0265e+3,   1.6338e+2,
GallBladder       ,   1.0556e+1,   9.0000e-1,   5.8202e+3,   2.6332e+5,   1.0259e+3,   1.6328e+2,
GallBladder       ,   1.0568e+1,   9.0000e-1,   5.8145e+3,   2.6328e+5,   1.0254e+3,   1.6319e+2,
GallBladder       ,   1.0580e+1,   9.0000e-1,   5.8087e+3,   2.6324e+5,   1.0248e+3,   1.6310e+2,
GallBladder       ,   1.0593e+1,   9.0000e-1,   5.8030e+3,   2.6319e+5,   1.0242e+3,   1.6300e+2,
GallBladder       ,   1.0605e+1,   9.0000e-1,   5.7972e+3,   2.6315e+5,   1.0236e+3,   1.6291e+2,
GallBladder       ,   1.0617e+1,   9.0000e-1,   5.7915e+3,   2.6311e+5,   1.0230e+3,   1.6281e+2,
GallBladder       ,   1.0629e+1,   9.0000e-1,   5.7857e+3,   2.6307e+5,   1.0224e+3,   1.6272e+2,
GallBladder       ,   1.0641e+1,   9.0000e-1,   5.7800e+3,   2.6302e+5,   1.0218e+3,   1.6263e+2,
GallBladder       ,   1.0654e+1,   9.0000e-1,   5.7743e+3,   2.6298e+5,   1.0212e+3,   1.6253e+2,
GallBladder       ,   1.0666e+1,   9.0000e-1,   5.7685e+3,   2.6294e+5,   1.0206e+3,   1.6244e+2,
GallBladder       ,   1.0678e+1,   9.0000e-1,   5.7628e+3,   2.6290e+5,   1.0201e+3,   1.6235e+2,
GallBladder       ,   1.0691e+1,   9.0000e-1,   5.7570e+3,   2.6286e+5,   1.0195e+3,   1.6225e+2,
GallBladder       ,   1.0703e+1,   9.0000e-1,   5.7513e+3,   2.6282e+5,   1.0189e+3,   1.6216e+2,
GallBladder       ,   1.0715e+1,   9.0000e-1,   5.7456e+3,   2.6278e+5,   1.0183e+3,   1.6207e+2,
GallBladder       ,   1.0728e+1,   9.0000e-1,   5.7398e+3,   2.6274e+5,   1.0177e+3,   1.6197e+2,
GallBladder       ,   1.0740e+1,   9.0000e-1,   5.7341e+3,   2.6270e+5,   1.0171e+3,   1.6188e+2,
GallBladder       ,   1.0752e+1,   9.0000e-1,   5.7283e+3,   2.6266e+5,   1.0165e+3,   1.6179e+2,
GallBladder       ,   1.0765e+1,   9.0000e-1,   5.7226e+3,   2.6262e+5,   1.0160e+3,   1.6169e+2,
GallBladder       ,   1.0777e+1,   9.0000e-1,   5.7169e+3,   2.6258e+5,   1.0154e+3,   1.6160e+2,
GallBladder       ,   1.0789e+1,   9.0000e-1,   5.7111e+3,   2.6254e+5,   1.0148e+3,   1.6151e+2,
GallBladder       ,   1.0802e+1,   9.0000e-1,   5.7054e+3,   2.6250e+5,   1.0142e+3,   1.6142e+2,
GallBladder       ,   1.0814e+1,   9.0000e-1,   5.6997e+3,   2.6247e+5,   1.0136e+3,   1.6132e+2,
GallBladder       ,   1.0827e+1,   9.0000e-1,   5.6940e+3,   2.6243e+5,   1.0130e+3,   1.6123e+2,
GallBladder       ,   1.0839e+1,   9.0000e-1,   5.6882e+3,   2.6239e+5,   1.0124e+3,   1.6114e+2,
GallBladder       ,   1.0852e+1,   9.0000e-1,   5.6825e+3,   2.6235e+5,   1.0119e+3,   1.6104e+2,
GallBladder       ,   1.0864e+1,   9.0000e-1,   5.6768e+3,   2.6231e+5,   1.0113e+3,   1.6095e+2,
GallBladder       ,   1.0877e+1,   9.0000e-1,   5.6710e+3,   2.6228e+5,   1.0107e+3,   1.6086e+2,
GallBladder       ,   1.0889e+1,   9.0000e-1,   5.6653e+3,   2.6224e+5,   1.0101e+3,   1.6077e+2,
