Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Kidney            ,   1.0000e+1,   5.4410e-2,   2.7988e+7,   3.4945e+0,   3.7225e+3,   7.8577e+2,
Kidney            ,   1.0012e+1,   5.4420e-2,   2.7983e+7,   3.4917e+0,   3.7196e+3,   7.8534e+2,
Kidney            ,   1.0023e+1,   5.4429e-2,   2.7979e+7,   3.4889e+0,   3.7167e+3,   7.8491e+2,
Kidney            ,   1.0035e+1,   5.4439e-2,   2.7974e+7,   3.4861e+0,   3.7139e+3,   7.8447e+2,
Kidney            ,   1.0046e+1,   5.4448e-2,   2.7969e+7,   3.4833e+0,   3.7110e+3,   7.8404e+2,
Kidney            ,   1.0058e+1,   5.4458e-2,   2.7964e+7,   3.4805e+0,   3.7081e+3,   7.8361e+2,
Kidney            ,   1.0069e+1,   5.4467e-2,   2.7959e+7,   3.4777e+0,   3.7053e+3,   7.8318e+2,
Kidney            ,   1.0081e+1,   5.4477e-2,   2.7954e+7,   3.4749e+0,   3.7024e+3,   7.8274e+2,
Kidney            ,   1.0093e+1,   5.4486e-2,   2.7949e+7,   3.4721e+0,   3.6995e+3,   7.8231e+2,
Kidney            ,   1.0104e+1,   5.4496e-2,   2.7944e+7,   3.4693e+0,   3.6967e+3,   7.8188e+2,
Kidney            ,   1.0116e+1,   5.4505e-2,   2.7940e+7,   3.4666e+0,   3.6938e+3,   7.8145e+2,
Kidney            ,   1.0127e+1,   5.4515e-2,   2.7935e+7,   3.4638e+0,   3.6909e+3,   7.8102e+2,
Kidney            ,   1.0139e+1,   5.4524e-2,   2.7930e+7,   3.4610e+0,   3.6881e+3,   7.8058e+2,
Kidney            ,   1.0151e+1,   5.4534e-2,   2.7925e+7,   3.4583e+0,   3.6852e+3,   7.8015e+2,
Kidney            ,   1.0162e+1,   5.4544e-2,   2.7920e+7,   3.4555e+0,   3.6824e+3,   7.7972e+2,
Kidney            ,   1.0174e+1,   5.4553e-2,   2.7915e+7,   3.4528e+0,   3.6795e+3,   7.7929e+2,
Kidney            ,   1.0186e+1,   5.4563e-2,   2.7910e+7,   3.4500e+0,   3.6767e+3,   7.7886e+2,
Kidney            ,   1.0198e+1,   5.4573e-2,   2.7905e+7,   3.4473e+0,   3.6738e+3,   7.7843e+2,
Kidney            ,   1.0209e+1,   5.4582e-2,   2.7900e+7,   3.4445e+0,   3.6710e+3,   7.7800e+2,
Kidney            ,   1.0221e+1,   5.4592e-2,   2.7895e+7,   3.4418e+0,   3.6681e+3,   7.7756e+2,
Kidney            ,   1.0233e+1,   5.4602e-2,   2.7890e+7,   3.4391e+0,   3.6653e+3,   7.7713e+2,
Kidney            ,   1.0245e+1,   5.4612e-2,   2.7885e+7,   3.4363e+0,   3.6624e+3,   7.7670e+2,
Kidney            ,   1.0257e+1,   5.4621e-2,   2.7880e+7,   3.4336e+0,   3.6596e+3,   7.7627e+2,
Kidney            ,   1.0268e+1,   5.4631e-2,   2.7875e+7,   3.4309e+0,   3.6568e+3,   7.7584e+2,
Kidney            ,   1.0280e+1,   5.4641e-2,   2.7870e+7,   3.4282e+0,   3.6539e+3,   7.7541e+2,
Kidney            ,   1.0292e+1,   5.4651e-2,   2.7865e+7,   3.4255e+0,   3.6511e+3,   7.7498e+2,
Kidney            ,   1.0304e+1,   5.4661e-2,   2.7860e+7,   3.4228e+0,   3.6483e+3,   7.7455e+2,
Kidney            ,   1.0316e+1,   5.4671e-2,   2.7855e+7,   3.4201e+0,   3.6454e+3,   7.7412e+2,
Kidney            ,   1.0328e+1,   5.4681e-2,   2.7850e+7,   3.4174e+0,   3.6426e+3,   7.7369e+2,
Kidney            ,   1.0340e+1,   5.4690e-2,   2.7844e+7,   3.4147e+0,   3.6398e+3,   7.7326e+2,
Kidney            ,   1.0351e+1,   5.4700e-2,   2.7839e+7,   3.4120e+0,   3.6369e+3,   7.7283e+2,
Kidney            ,   1.0363e+1,   5.4710e-2,   2.7834e+7,   3.4093e+0,   3.6341e+3,   7.7240e+2,
Kidney            ,   1.0375e+1,   5.4720e-2,   2.7829e+7,   3.4067e+0,   3.6313e+3,   7.7197e+2,
Kidney            ,   1.0387e+1,   5.4730e-2,   2.7824e+7,   3.4040e+0,   3.6285e+3,   7.7154e+2,
Kidney            ,   1.0399e+1,   5.4740e-2,   2.7819e+7,   3.4013e+0,   3.6256e+3,   7.7111e+2,
Kidney            ,   1.0411e+1,   5.4750e-2,   2.7814e+7,   3.3987e+0,   3.6228e+3,   7.7068e+2,
Kidney            ,   1.0423e+1,   5.4760e-2,   2.7808e+7,   3.3960e+0,   3.6200e+3,   7.7025e+2,
Kidney            ,   1.0435e+1,   5.4771e-2,   2.7803e+7,   3.3934e+0,   3.6172e+3,   7.6982e+2,
Kidney            ,   1.0447e+1,   5.4781e-2,   2.7798e+7,   3.3907e+0,   3.6144e+3,   7.6940e+2,
Kidney            ,   1.0459e+1,   5.4791e-2,   2.7793e+7,   3.3881e+0,   3.6116e+3,   7.6897e+2,
Kidney            ,   1.0471e+1,   5.4801e-2,   2.7788e+7,   3.3854e+0,   3.6088e+3,   7.6854e+2,
Kidney            ,   1.0483e+1,   5.4811e-2,   2.7783e+7,   3.3828e+0,   3.6060e+3,   7.6811e+2,
Kidney            ,   1.0495e+1,   5.4821e-2,   2.7777e+7,   3.3802e+0,   3.6031e+3,   7.6768e+2,
Kidney            ,   1.0508e+1,   5.4831e-2,   2.7772e+7,   3.3776e+0,   3.6003e+3,   7.6725e+2,
Kidney            ,   1.0520e+1,   5.4842e-2,   2.7767e+7,   3.3749e+0,   3.5975e+3,   7.6682e+2,
Kidney            ,   1.0532e+1,   5.4852e-2,   2.7762e+7,   3.3723e+0,   3.5947e+3,   7.6640e+2,
Kidney            ,   1.0544e+1,   5.4862e-2,   2.7756e+7,   3.3697e+0,   3.5919e+3,   7.6597e+2,
Kidney            ,   1.0556e+1,   5.4872e-2,   2.7751e+7,   3.3671e+0,   3.5891e+3,   7.6554e+2,
Kidney            ,   1.0568e+1,   5.4883e-2,   2.7746e+7,   3.3645e+0,   3.5863e+3,   7.6511e+2,
Kidney            ,   1.0580e+1,   5.4893e-2,   2.7740e+7,   3.3619e+0,   3.5835e+3,   7.6468e+2,
Kidney            ,   1.0593e+1,   5.4903e-2,   2.7735e+7,   3.3593e+0,   3.5807e+3,   7.6425e+2,
Kidney            ,   1.0605e+1,   5.4914e-2,   2.7730e+7,   3.3567e+0,   3.5780e+3,   7.6383e+2,
Kidney            ,   1.0617e+1,   5.4924e-2,   2.7724e+7,   3.3541e+0,   3.5752e+3,   7.6340e+2,
Kidney            ,   1.0629e+1,   5.4934e-2,   2.7719e+7,   3.3515e+0,   3.5724e+3,   7.6297e+2,
Kidney            ,   1.0641e+1,   5.4945e-2,   2.7714e+7,   3.3490e+0,   3.5696e+3,   7.6254e+2,
Kidney            ,   1.0654e+1,   5.4955e-2,   2.7708e+7,   3.3464e+0,   3.5668e+3,   7.6212e+2,
Kidney            ,   1.0666e+1,   5.4966e-2,   2.7703e+7,   3.3438e+0,   3.5640e+3,   7.6169e+2,
Kidney            ,   1.0678e+1,   5.4976e-2,   2.7698e+7,   3.3413e+0,   3.5612e+3,   7.6126e+2,
Kidney            ,   1.0691e+1,   5.4987e-2,   2.7692e+7,   3.3387e+0,   3.5585e+3,   7.6084e+2,
Kidney            ,   1.0703e+1,   5.4997e-2,   2.7687e+7,   3.3362e+0,   3.5557e+3,   7.6041e+2,
Kidney            ,   1.0715e+1,   5.5008e-2,   2.7682e+7,   3.3336e+0,   3.5529e+3,   7.5998e+2,
Kidney            ,   1.0728e+1,   5.5018e-2,   2.7676e+7,   3.3311e+0,   3.5501e+3,   7.5955e+2,
Kidney            ,   1.0740e+1,   5.5029e-2,   2.7671e+7,   3.3285e+0,   3.5474e+3,   7.5913e+2,
Kidney            ,   1.0752e+1,   5.5039e-2,   2.7665e+7,   3.3260e+0,   3.5446e+3,   7.5870e+2,
Kidney            ,   1.0765e+1,   5.5050e-2,   2.7660e+7,   3.3235e+0,   3.5418e+3,   7.5827e+2,
Kidney            ,   1.0777e+1,   5.5061e-2,   2.7654e+7,   3.3209e+0,   3.5391e+3,   7.5785e+2,
Kidney            ,   1.0789e+1,   5.5071e-2,   2.7649e+7,   3.3184e+0,   3.5363e+3,   7.5742e+2,
Kidney            ,   1.0802e+1,   5.5082e-2,   2.7643e+7,   3.3159e+0,   3.5335e+3,   7.5700e+2,
Kidney            ,   1.0814e+1,   5.5093e-2,   2.7638e+7,   3.3134e+0,   3.5308e+3,   7.5657e+2,
Kidney            ,   1.0827e+1,   5.5103e-2,   2.7632e+7,   3.3109e+0,   3.5280e+3,   7.5614e+2,
Kidney            ,   1.0839e+1,   5.5114e-2,   2.7627e+7,   3.3084e+0,   3.5252e+3,   7.5572e+2,
Kidney            ,   1.0852e+1,   5.5125e-2,   2.7621e+7,   3.3059e+0,   3.5225e+3,   7.5529e+2,
Kidney            ,   1.0864e+1,   5.5136e-2,   2.7616e+7,   3.3034e+0,   3.5197e+3,   7.5487e+2,
Kidney            ,   1.0877e+1,   5.5147e-2,   2.7610e+7,   3.3009e+0,   3.5170e+3,   7.5444e+2,
