Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Lens              ,   1.0000e+1,   3.1113e-1,   2.0202e+7,   2.7684e+1,   1.7607e+3,   2.9053e+2,
Lens              ,   1.0012e+1,   3.1114e-1,   2.0179e+7,   2.7685e+1,   1.7596e+3,   2.9035e+2,
Lens              ,   1.0023e+1,   3.1115e-1,   2.0156e+7,   2.7686e+1,   1.7586e+3,   2.9018e+2,
Lens              ,   1.0035e+1,   3.1117e-1,   2.0133e+7,   2.7687e+1,   1.7576e+3,   2.9001e+2,
Lens              ,   1.0046e+1,   3.1118e-1,   2.0110e+7,   2.7688e+1,   1.7565e+3,   2.8984e+2,
Lens              ,   1.0058e+1,   3.1119e-1,   2.0086e+7,   2.7689e+1,   1.7555e+3,   2.8966e+2,
Lens              ,   1.0069e+1,   3.1120e-1,   2.0063e+7,   2.7690e+1,   1.7544e+3,   2.8949e+2,
Lens              ,   1.0081e+1,   3.1122e-1,   2.0040e+7,   2.7691e+1,   1.7534e+3,   2.8932e+2,
Lens              ,   1.0093e+1,   3.1123e-1,   2.0017e+7,   2.7692e+1,   1.7523e+3,   2.8914e+2,
Lens              ,   1.0104e+1,   3.1124e-1,   1.9994e+7,   2.7693e+1,   1.7513e+3,   2.8897e+2,
Lens              ,   1.0116e+1,   3.1126e-1,   1.9971e+7,   2.7694e+1,   1.7502e+3,   2.8880e+2,
Lens              ,   1.0127e+1,   3.1127e-1,   1.9948e+7,   2.7696e+1,   1.7492e+3,   2.8863e+2,
Lens              ,   1.0139e+1,   3.1128e-1,   1.9925e+7,   2.7697e+1,   1.7482e+3,   2.8845e+2,
Lens              ,   1.0151e+1,   3.1129e-1,   1.9902e+7,   2.7698e+1,   1.7471e+3,   2.8828e+2,
Lens              ,   1.0162e+1,   3.1131e-1,   1.9879e+7,   2.7699e+1,   1.7461e+3,   2.8811e+2,
Lens              ,   1.0174e+1,   3.1132e-1,   1.9856e+7,   2.7701e+1,   1.7450e+3,   2.8794e+2,
Lens              ,   1.0186e+1,   3.1133e-1,   1.9833e+7,   2.7702e+1,   1.7440e+3,   2.8777e+2,
Lens              ,   1.0198e+1,   3.1135e-1,   1.9810e+7,   2.7703e+1,   1.7430e+3,   2.8759e+2,
Lens              ,   1.0209e+1,   3.1136e-1,   1.9787e+7,   2.7705e+1,   1.7419e+3,   2.8742e+2,
Lens              ,   1.0221e+1,   3.1137e-1,   1.9764e+7,   2.7706e+1,   1.7409e+3,   2.8725e+2,
Lens              ,   1.0233e+1,   3.1138e-1,   1.9741e+7,   2.7708e+1,   1.7398e+3,   2.8708e+2,
