Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Lymph             ,   1.0000e+1,   5.1113e-1,   2.0102e+7,   4.5705e+1,   1.3835e+3,   2.2506e+2,
Lymph             ,   1.0012e+1,   5.1114e-1,   2.0079e+7,   4.5706e+1,   1.3827e+3,   2.2493e+2,
Lymph             ,   1.0023e+1,   5.1115e-1,   2.0056e+7,   4.5707e+1,   1.3819e+3,   2.2480e+2,
Lymph             ,   1.0035e+1,   5.1117e-1,   2.0033e+7,   4.5708e+1,   1.3811e+3,   2.2466e+2,
Lymph             ,   1.0046e+1,   5.1118e-1,   2.0010e+7,   4.5709e+1,   1.3803e+3,   2.2453e+2,
Lymph             ,   1.0058e+1,   5.1119e-1,   1.9987e+7,   4.5710e+1,   1.3794e+3,   2.2440e+2,
Lymph             ,   1.0069e+1,   5.1120e-1,   1.9964e+7,   4.5711e+1,   1.3786e+3,   2.2427e+2,
Lymph             ,   1.0081e+1,   5.1122e-1,   1.9941e+7,   4.5713e+1,   1.3778e+3,   2.2414e+2,
Lymph             ,   1.0093e+1,   5.1123e-1,   1.9918e+7,   4.5714e+1,   1.3770e+3,   2.2400e+2,
Lymph             ,   1.0104e+1,   5.1124e-1,   1.9895e+7,   4.5715e+1,   1.3762e+3,   2.2387e+2,
Lymph             ,   1.0116e+1,   5.1126e-1,   1.9872e+7,   4.5717e+1,   1.3754e+3,   2.2374e+2,
Lymph             ,   1.0127e+1,   5.1127e-1,   1.9849e+7,   4.5718e+1,   1.3746e+3,   2.2361e+2,
Lymph             ,   1.0139e+1,   5.1128e-1,   1.9826e+7,   4.5720e+1,   1.3738e+3,   2.2348e+2,
Lymph             ,   1.0151e+1,   5.1129e-1,   1.9803e+7,   4.5721e+1,   1.3730e+3,   2.2335e+2,
Lymph             ,   1.0162e+1,   5.1131e-1,   1.9780e+7,   4.5723e+1,   1.3722e+3,   2.2322e+2,
Lymph             ,   1.0174e+1,   5.1132e-1,   1.9757e+7,   4.5725e+1,   1.3714e+3,   2.2308e+2,
Lymph             ,   1.0186e+1,   5.1133e-1,   1.9734e+7,   4.5727e+1,   1.3706e+3,   2.2295e+2,
Lymph             ,   1.0198e+1,   5.1135e-1,   1.9711e+7,   4.5729e+1,   1.3697e+3,   2.2282e+2,
Lymph             ,   1.0209e+1,   5.1136e-1,   1.9688e+7,   4.5730e+1,   1.3689e+3,   2.2269e+2,
Lymph             ,   1.0221e+1,   5.1137e-1,   1.9665e+7,   4.5732e+1,   1.3681e+3,   2.2256e+2,
Lymph             ,   1.0233e+1,   5.1138e-1,   1.9642e+7,   4.5735e+1,   1.3673e+3,   2.2243e+2,
Lymph             ,   1.0245e+1,   5.1140e-1,   1.9619e+7,   4.5737e+1,   1.3665e+3,   2.2230e+2,
Lymph             ,   1.0257e+1,   5.1141e-1,   1.9596e+7,   4.5739e+1,   1.3657e+3,   2.2217e+2,
Lymph             ,   1.0268e+1,   5.1142e-1,   1.9573e+7,   4.5741e+1,   1.3649e+3,   2.2204e+2,
Lymph             ,   1.0280e+1,   5.1144e-1,   1.9550e+7,   4.5743e+1,   1.3641e+3,   2.2190e+2,
Lymph             ,   1.0292e+1,   5.1145e-1,   1.9527e+7,   4.5746e+1,   1.3633e+3,   2.2177e+2,
Lymph             ,   1.0304e+1,   5.1146e-1,   1.9504e+7,   4.5748e+1,   1.3625e+3,   2.2164e+2,
Lymph             ,   1.0316e+1,   5.1147e-1,   1.9481e+7,   4.5751e+1,   1.3617e+3,   2.2151e+2,
Lymph             ,   1.0328e+1,   5.1149e-1,   1.9458e+7,   4.5753e+1,   1.3609e+3,   2.2138e+2,
Lymph             ,   1.0340e+1,   5.1150e-1,   1.9435e+7,   4.5756e+1,   1.3601e+3,   2.2125e+2,
Lymph             ,   1.0351e+1,   5.1151e-1,   1.9412e+7,   4.5758e+1,   1.3593e+3,   2.2112e+2,
