Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Muscle            ,   1.0000e+1,   2.0197e-1,   2.5700e+7,   1.4126e+1,   2.1478e+3,   3.6689e+2,
Muscle            ,   1.0012e+1,   2.0197e-1,   2.5699e+7,   1.4111e+1,   2.1465e+3,   3.6669e+2,
Muscle            ,   1.0023e+1,   2.0198e-1,   2.5698e+7,   1.4095e+1,   2.1451e+3,   3.6649e+2,
Muscle            ,   1.0035e+1,   2.0198e-1,   2.5697e+7,   1.4080e+1,   2.1438e+3,   3.6629e+2,
Muscle            ,   1.0046e+1,   2.0198e-1,   2.5696e+7,   1.4065e+1,   2.1424e+3,   3.6609e+2,
Muscle            ,   1.0058e+1,   2.0199e-1,   2.5695e+7,   1.4050e+1,   2.1411e+3,   3.6588e+2,
Muscle            ,   1.0069e+1,   2.0199e-1,   2.5694e+7,   1.4034e+1,   2.1398e+3,   3.6568e+2,
Muscle            ,   1.0081e+1,   2.0200e-1,   2.5692e+7,   1.4019e+1,   2.1384e+3,   3.6548e+2,
Muscle            ,   1.0093e+1,   2.0200e-1,   2.5691e+7,   1.4004e+1,   2.1371e+3,   3.6528e+2,
Muscle            ,   1.0104e+1,   2.0201e-1,   2.5690e+7,   1.3989e+1,   2.1358e+3,   3.6508e+2,
Muscle            ,   1.0116e+1,   2.0201e-1,   2.5689e+7,   1.3974e+1,   2.1344e+3,   3.6488e+2,
Muscle            ,   1.0127e+1,   2.0202e-1,   2.5688e+7,   1.3959e+1,   2.1331e+3,   3.6468e+2,
Muscle            ,   1.0139e+1,   2.0202e-1,   2.5687e+7,   1.3943e+1,   2.1318e+3,   3.6448e+2,
Muscle            ,   1.0151e+1,   2.0203e-1,   2.5685e+7,   1.3928e+1,   2.1304e+3,   3.6428e+2,
Muscle            ,   1.0162e+1,   2.0203e-1,   2.5684e+7,   1.3913e+1,   2.1291e+3,   3.6408e+2,
Muscle            ,   1.0174e+1,   2.0203e-1,   2.5683e+7,   1.3898e+1,   2.1278e+3,   3.6388e+2,
