Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
SkinDry           ,   1.0000e+1,   2.0000e-4,   1.1360e+3,   3.1647e+2,   7.0598e+4,   1.1272e+4,
SkinDry           ,   1.0012e+1,   2.0000e-4,   1.1360e+3,   3.1611e+2,   7.0558e+4,   1.1265e+4,
SkinDry           ,   1.0023e+1,   2.0000e-4,   1.1360e+3,   3.1574e+2,   7.0517e+4,   1.1259e+4,
SkinDry           ,   1.0035e+1,   2.0000e-4,   1.1360e+3,   3.1538e+2,   7.0476e+4,   1.1252e+4,
SkinDry           ,   1.0046e+1,   2.0000e-4,   1.1360e+3,   3.1502e+2,   7.0435e+4,   1.1246e+4,
SkinDry           ,   1.0058e+1,   2.0000e-4,   1.1360e+3,   3.1466e+2,   7.0395e+4,   1.1239e+4,
SkinDry           ,   1.0069e+1,   2.0000e-4,   1.1360e+3,   3.1429e+2,   7.0354e+4,   1.1233e+4,
SkinDry           ,   1.0081e+1,   2.0000e-4,   1.1360e+3,   3.1393e+2,   7.0313e+4,   1.1226e+4,
SkinDry           ,   1.0093e+1,   2.0000e-4,   1.1360e+3,   3.1357e+2,   7.0273e+4,   1.1220e+4,
SkinDry           ,   1.0104e+1,   2.0000e-4,   1.1360e+3,   3.1321e+2,   7.0232e+4,   1.1214e+4,
SkinDry           ,   1.0116e+1,   2.0000e-4,   1.1360e+3,   3.1285e+2,   7.0192e+4,   1.1207e+4,
SkinDry           ,   1.0127e+1,   2.0000e-4,   1.1360e+3,   3.1249e+2,   7.0151e+4,   1.1201e+4,
SkinDry           ,   1.0139e+1,   2.0000e-4,   1.1360e+3,   3.1213e+2,   7.0111e+4,   1.1194e+4,
SkinDry           ,   1.0151e+1,   2.0000e-4,   1.1360e+3,   3.1177e+2,   7.0070e+4,   1.1188e+4,
SkinDry           ,   1.0162e+1,   2.0000e-4,   1.1360e+3,   3.1141e+2,   7.0030e+4,   1.1181e+4,
