Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Spleen            ,   1.0000e+1,   3.9596e-2,   4.3303e+7,   1.6437e+0,   3.7678e+3,   1.0668e+3,
Spleen            ,   1.0012e+1,   3.9615e-2,   4.3289e+7,   1.6431e+0,   3.7644e+3,   1.0660e+3,
Spleen            ,   1.0023e+1,   3.9634e-2,   4.3275e+7,   1.6425e+0,   3.7610e+3,   1.0652e+3,
Spleen            ,   1.0035e+1,   3.9653e-2,   4.3261e+7,   1.6419e+0,   3.7576e+3,   1.0644e+3,
Spleen            ,   1.0046e+1,   3.9672e-2,   4.3248e+7,   1.6414e+0,   3.7542e+3,   1.0637e+3,
Spleen            ,   1.0058e+1,   3.9692e-2,   4.3234e+7,   1.6408e+0,   3.7508e+3,   1.0629e+3,
Spleen            ,   1.0069e+1,   3.9711e-2,   4.3220e+7,   1.6402e+0,   3.7474e+3,   1.0621e+3,
Spleen            ,   1.0081e+1,   3.9730e-2,   4.3206e+7,   1.6397e+0,   3.7440e+3,   1.0614e+3,
Spleen            ,   1.0093e+1,   3.9749e-2,   4.3192e+7,   1.6391e+0,   3.7406e+3,   1.0606e+3,
Spleen            ,   1.0104e+1,   3.9769e-2,   4.3178e+7,   1.6385e+0,   3.7372e+3,   1.0598e+3,
Spleen            ,   1.0116e+1,   3.9788e-2,   4.3164e+7,   1.6380e+0,   3.7338e+3,   1.0590e+3,
Spleen            ,   1.0127e+1,   3.9807e-2,   4.3151e+7,   1.6374e+0,   3.7304e+3,   1.0583e+3,
Spleen            ,   1.0139e+1,   3.9827e-2,   4.3137e+7,   1.6369e+0,   3.7270e+3,   1.0575e+3,
Spleen            ,   1.0151e+1,   3.9846e-2,   4.3123e+7,   1.6363e+0,   3.7236e+3,   1.0567e+3,
Spleen            ,   1.0162e+1,   3.9866e-2,   4.3109e+7,   1.6358e+0,   3.7202e+3,   1.0559e+3,
Spleen            ,   1.0174e+1,   3.9885e-2,   4.3095e+7,   1.6352e+0,   3.7169e+3,   1.0552e+3,
Spleen            ,   1.0186e+1,   3.9905e-2,   4.3081e+7,   1.6347e+0,   3.7135e+3,   1.0544e+3,
Spleen            ,   1.0198e+1,   3.9924e-2,   4.3066e+7,   1.6341e+0,   3.7101e+3,   1.0536e+3,
Spleen            ,   1.0209e+1,   3.9944e-2,   4.3052e+7,   1.6336e+0,   3.7067e+3,   1.0528e+3,
Spleen            ,   1.0221e+1,   3.9964e-2,   4.3038e+7,   1.6330e+0,   3.7034e+3,   1.0521e+3,
Spleen            ,   1.0233e+1,   3.9983e-2,   4.3024e+7,   1.6325e+0,   3.7000e+3,   1.0513e+3,
Spleen            ,   1.0245e+1,   4.0003e-2,   4.3010e+7,   1.6319e+0,   3.6967e+3,   1.0505e+3,
