Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Vacuum            ,   1.0000e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9979e+7,"N/A",
Vacuum            ,   1.0012e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9945e+7,"N/A",
Vacuum            ,   1.0023e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9910e+7,"N/A",
Vacuum            ,   1.0035e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9876e+7,"N/A",
Vacuum            ,   1.0046e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9842e+7,"N/A",
Vacuum            ,   1.0058e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9807e+7,"N/A",
Vacuum            ,   1.0069e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9773e+7,"N/A",
Vacuum            ,   1.0081e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9739e+7,"N/A",
Vacuum            ,   1.0093e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9704e+7,"N/A",
Vacuum            ,   1.0104e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9670e+7,"N/A",
Vacuum            ,   1.0116e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9636e+7,"N/A",
Vacuum            ,   1.0127e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9602e+7,"N/A",
Vacuum            ,   1.0139e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9568e+7,"N/A",
Vacuum            ,   1.0151e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9534e+7,"N/A",
Vacuum            ,   1.0162e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9500e+7,"N/A",
Vacuum            ,   1.0174e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9466e+7,"N/A",
Vacuum            ,   1.0186e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9432e+7,"N/A",
Vacuum            ,   1.0198e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9398e+7,"N/A",
Vacuum            ,   1.0209e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9364e+7,"N/A",
Vacuum            ,   1.0221e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9331e+7,"N/A",
Vacuum            ,   1.0233e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9297e+7,"N/A",
Vacuum            ,   1.0245e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9263e+7,"N/A",
Vacuum            ,   1.0257e+1,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9229e+7,"N/A",
